"Title","URL","Review","Rating"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Harry Potter - nowa marka, której podlega wiele dzieci. Słynny cytat: ""Jeśli myślisz, że sztuka czytania umarła, zwłaszcza wśród dzieci, to niezawodny znak, że jesteś Mugolem!"". Młody mężczyzna, który zmienił cały świat, sprawił, że ludzie stali pod księgarniami w oczekiwaniu na premierę. Sierota, zagubiony w domu krewnych, którzy traktują go bardzo źle, wręcz okrutnie. Wykorzystują go ponad miarę, używają jako sługi, a nie jako krewnego pani domu. wmawiają chłopcu, że cały czas jest zbędny, że jest nikim ważnym, a powinien być wdzięczny za wszelkie rzeczy, które od nich otrzymał. Nie ma żadnych przyjaciół, bo nikt nie chce stać się wrogiem potężnego kuzyna bohatera i jego bandy. Wszystko zmienia się, kiedy bohater otrzymuje tajemniczy list... Nigdy nie dostał nawet listu z upomnieniem z biblioteki, bo nigdy nie dano mu szansy na rozwój pasji. Tymczasem nagle przychodzi pięknie zaadresowany i jakże oryginalnie list! Chłopiec nie może w to uwierzyć! Nagle pojawia się szansa. Czyżby miał jakąś inną rodzinę, która sobie o nim przypomniała? W końcu wiele osób kłaniało mu się na ulicy, a on nigdy nie wiedział dlaczego... Zmiana w zachowaniu Durslejów dziwi go i te listy, które nie przestają przychodzić, szaleńcza ucieczka przed prawdą... Wizyta strażnika kluczy i gajowego Hogwartu wszystko zmienia. Harry odkrywa prawdę o zabójstwie swoich rodziców, a jednocześnie znajduje przyjaciół i siebie w świecie, gdzie jest jego miejsce. Nie waha się stawić czoła swojemu rywalowi i wrogowi Voldemortowi. Wsparcia udzielają mu inni czarodzieje: z dziada pradziada Ron Wesley (łasica),który jest lojalny, wierny, ale niezbyt utalentowany oraz Hermiona Granger - bardzo zdolna czarownica, która pochodzi z domu, który nie miał nic wspólnego z magią. Nowe przedmioty szokują, ale kto by nie chciał nauczyć się magii? Eliksiry, trasmutacja - zamiana rzeczy w inne, zaklęcia, astronomia, opieka nad magicznymi stworzeniami, ziołolecznictwo, historia magii... Wszystkie te przedmioty budzą fascynację. Książka jest wyjątkowa. Zachęca do odwagi i przemyślenia wszystkiego na nowo. Czy bogactwo pozwala być inaczej traktowanym, jak myśli Draco Malfoy proponując sojusz Harry'emu? Czy wszyscy są równi wobec magii? Jak można stać się sobą i zachować odwagę w obliczu zagrożenia? Walka dobra ze złem zachęci młodego odbiorcę do przemyślenia swoich wyborów.","10.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Kocham całym sercem. Uwielbiam styl pisania i humor J.K Rowling. Coś wspaniałego. Wywołała we mnie ogrom emocji i dużo ekscytacji nawet w czasie, gdy jej nie czytałam. Nie mogła mi wyjść z głowy. Ta historia nie jest idealna, ale nie o to chodzi!","10.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Re-read. Jak zwykle wspaniała.","10.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","przeczytałem już 5 części i ta mnie zdziwiła arcydzieło","10.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Książka, która zabiera w świat fantastyki, magii oraz młodych czarodziejów, którzy stają oko w oko że złem. Pokazuje wartość przyjaźni, dobra oraz odwagi.","7.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Po latach przeczytałam książkę w oryginale po angielsku i patrząc obiektywnie, to nie jest to arcydzieło. Postacie płaskie, uniwersum niezbyt rozbudowane, wszystkie tajemnice wyjaśnione w 1 dialogu.Jednak ciągle mam w sercu to że jest to seria, którą kochałam w dzieciństwie i chodzi przede wszystkimo magiczną historię.","8.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Naprawdę dobra książka. Wszystko jest w niej spójne. Fabuła trzyma w napięciu oraz jest momentami zabawna. Bardzo polubiłam bohaterów. Każda postać ma w sobie coś, co ją wyróżnia. Świat jest naprawdę bardzo dobrze przemyślany. Zakończenie zachęca do przeczytania całej serii!😀Chyba wybrałam najlepszy czas na tę książkę - jesień. Polecam z całego serduszka!🧙‍♀️🪄💜Ps. Zachęcam do przesłuchania audiobooka czytanego przez Piotra Fronczewskiego!!! Świetnie oddaje charakter postaci.","10.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","O Harrym Potterze napisano, nagrano i powiedziano już tyle recenzji, że ciężko napisać coś nowego na jego temat.To już moje kolejne spotkanie z Potterem i przyjaciółmi, w ramach pomysłu na ""Jesień z Harrym"", na który to wpadłyśmy razem z przyjaciółką :)Nawet nie myślałam, że tak szybko tym razem wciągnę pierwszą część! Język którym jest napisana jest miły w odbiorze. Jasny i niewydumany. Historia jest nadal wciągająca. Absolutnie nie nudzi mimo tego, że zna się ja prawie na pamięć. Ale czy na pewno? ;) Mnie niektóre rzeczy wypadły z głowy jak chociażby duch nauczyciel, pojedynek z Malfoyem którego nie było i kilka innych rzeczy. Miło było sobie i nich przypomnieć.Uważam, że ""Harry Potter i Kamień Filozoficzny"" dobrze się zestarzał i wciąż jego lektura sprawia przyjemność. Oprócz ogromnego sentymentu, ta książka i cała historia którą opowiadają kolejne części wciąż potrafi oczarować czytelnika :)Hokus Pokus, Czary Mary. Zakładamy szaty, różdżki w dłoń i czytamy bo Potter zawsze Was oczaruje ;)","9.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Niepowtarzalny głos Piotra Fronczewskiego nadaje audiobookowi super wymiar. Pięknie się to słucha, w szczególności przez dorosłego osobnika. Bardzo gorąco polecam nawet dla tych, którzy przeczytali papierową książkę.","7.0"
"Harry Potter i Kamień Filozoficzny","https://lubimyczytac.pl/ksiazka/5103137/harry-potter-i-kamien-filozoficzny","Bardzo ciekawa książka. Polecam tą i wszystkie inne z serii","10.0"
